# r/A   g_OO    g_OH    g_HH
1.124999999999999958e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.375000000000000222e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.624999999999999445e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.875000000000000056e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.012499999999999928e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.237499999999999989e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.462499999999999911e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.687499999999999833e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.912500000000000033e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.137499999999999956e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.362499999999999878e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.587499999999999800e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.812500000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.037499999999999645e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.262499999999999845e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.487500000000000044e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.712499999999999689e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.937499999999999889e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.162500000000000089e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.387499999999999734e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.612499999999999933e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.837499999999999578e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
